ACCIDENT_ID,LOCATE_ID_DISTRICT,LOCATE_ID_POLICE,ACCIDENT_MONTH,ACCIDENT_YEAR,ACCIDENT_COST,HUMAN_ADMIT,HUMAN_DEAD,ROADTYPE_ID,ROADSKIN_ID,ACDPOINT_ID,ATMOSPHERE_ID,LIGHT_ID,GIS_E,GIS_N,GIS_LAT,GIS_LNG,PERSON_GENDER,PERSON_AGE,PERSON_TYPE,PERSON_STATE,LOCATE_PROVINCE,LOCATE_DOMICILE,LOCATE_AREATYPE,HEALTH_DEADPLACE,HEALTH_EMSSEND
146109,100548,0,4,11,0,1,0,4,1,1,1,1,1081626,1846110,16.62600845,104.4465714,1,17,2,0,1056,1056,0,0,50
146110,100847,0,4,11,59000,1,0,1,1,1,90,90,0,0,0,94.5112561,1,32,2,0,1085,1038,1,0,20
146111,100672,0,4,11,59000,1,0,4,1,2,1,2,595753,1755854,15.87988949,99.89439488,1,39,2,0,1066,1066,0,0,20
146112,100161,0,4,15,0,0,1,3,1,1,90,2,710937,1474474,13.33015917,100.9474405,1,18,2,1,1030,1030,0,30,40
146113,100789,0,4,15,4030000,0,1,2,1,2,1,3,610449,1484550,13.42668189,100.0202363,1,25,2,1,1079,1079,0,10,40
146114,100048,101040,4,15,0,0,1,2,90,3,90,90,661252,1517393,13.72122166,100.4912708,1,52,2,1,1020,1020,0,10,90
146115,100516,0,1,12,0,1,0,4,3,1,90,3,0,0,0,94.5112561,1,17,2,0,1054,1054,0,0,50
146116,100219,0,4,11,0,0,1,2,1,2,1,2,822710,1546367,13.9693375,101.9867113,1,16,2,1,1037,1037,0,10,40
146117,100669,0,4,11,0,1,0,1,1,1,90,3,661350,1730219,15.64481406,100.5052831,1,40,2,0,1066,1066,0,0,60
146118,100951,0,4,11,0,1,0,1,1,3,1,1,792537,724021,6.54319466,101.645156,1,14,3,0,1095,1095,1,0,20
146119,100389,0,4,11,50000,1,0,1,2,1,3,1,830846,1828716,16.51741515,102.0990905,1,42,2,0,1047,1047,0,0,40
146120,100278,0,4,11,50000,1,0,4,1,1,1,1,0,0,0,94.5112561,1,30,2,0,1039,1039,0,0,20
146121,100876,0,4,11,59000,1,0,3,1,1,1,1,540807,1191422,10.777676,99.37326111,1,29,2,0,1088,1088,0,0,20
146122,100852,0,5,15,59000,1,0,2,1,1,90,2,550280,1015254,9.184245485,99.45767789,1,21,2,0,1086,1086,0,0,60
146123,100313,0,2,15,0,1,0,3,90,90,90,90,1072690,1678352,15.11819449,104.3232457,2,14,3,0,1041,1041,1,0,90
146124,100578,0,1,16,0,1,0,4,3,2,1,1,493546,1964528,17.7680785,98.9391133,2,12,3,0,1058,1058,0,0,90
146125,100238,0,1,16,5000,1,0,4,1,1,1,3,839765,1703135,15.38260127,102.164692,1,26,2,0,1038,1038,0,0,60
146126,100792,0,4,15,0,1,0,3,1,1,1,2,602486,1449083,13.10630145,99.94544746,1,50,2,0,1080,1080,0,0,40
146127,100702,0,4,15,0,1,0,2,1,2,90,3,462103,1822406,16.48308433,98.64493077,1,25,2,0,1069,1069,0,0,50
146128,100598,0,4,15,0,1,0,3,1,1,1,2,617461,1950060,17.63420482,100.1072434,1,23,2,0,1060,1060,0,0,20
146129,100557,0,4,15,10000,1,0,1,1,1,1,2,520507,2200950,19.90472347,99.19592392,1,65,2,0,1057,1057,0,0,50
