,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
57,0.498,0.108,78.975,0.0962,0.784,0.0,4,0.699,7,227836,-9.329,0.476,1,audio_features,spotify:track:6KtTbMttJ8ZtMG6VMds2B2
58,0.868,0.365,104.988,0.295,0.183,0.0,4,0.593,1,201257,-3.573,0.496,0,audio_features,spotify:track:7aF09WaavZAmAWuUeYxlYD
59,0.774,0.0805,186.031,0.0678,0.389,0.0,4,0.562,2,262437,-4.846,0.731,1,audio_features,spotify:track:54BVTgTpCjK8cRhTFDjHNK
60,0.829,0.158,86.52,0.0516,0.000631,7.29e-05,4,0.481,1,241842,-3.428,0.578,1,audio_features,spotify:track:3ElQaABWL55eqagqUocEYW
61,0.703,0.0913,95.997,0.054,0.103,0.0,4,0.76,5,231827,-5.412,0.57,1,audio_features,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g
62,0.548,0.13,129.959,0.0321,0.748,0.0,4,0.576,0,274154,-6.006,0.347,1,audio_features,spotify:track:34EtCXSXdm8iR2psCUGpwU
63,0.804,0.253,123.146,0.0363,0.215,0.0,4,0.63,6,220293,-4.183,0.492,1,audio_features,spotify:track:3a1lNhkSLSkpJE4MSHpDu9
64,0.886,0.112,125.046,0.0461,0.058,0.0,4,0.714,0,189356,-3.076,0.752,1,audio_features,spotify:track:3CEs5Jnov3YkmYn0Vezrcr
65,0.641,0.0949,101.034,0.128,0.281,0.0,4,0.845,6,260732,-4.9,0.561,1,audio_features,spotify:track:3U1wx7xT4fiojVBrbpeGOI
66,0.723,0.346,125.022,0.109,0.0672,0.0,4,0.929,11,223962,-5.792,0.458,0,audio_features,spotify:track:2771LMNxwf62FTAdpJMQfM
67,0.807,0.228,129.984,0.0517,0.0308,2.93e-05,4,0.777,9,222894,-4.101,0.732,0,audio_features,spotify:track:1UwERmn5UogyCz6qo21BmA
68,0.707,0.23,94.026,0.0279,0.54,0.00177,4,0.806,4,220213,-6.07,0.665,0,audio_features,spotify:track:7bUsQIWIirvF3tsNfee1zk
69,0.786,0.112,177.833,0.17,0.209,0.0,4,0.66,2,228200,-4.757,0.846,1,audio_features,spotify:track:4aWmUDTfIPGksMNLV2rQP2
70,0.849,0.398,127.923,0.0563,0.0461,0.0,4,0.642,11,214942,-3.266,0.601,0,audio_features,spotify:track:0WJVy5IYA9AeAI1htZDq0C
71,0.723,0.145,94.12,0.0691,0.406,0.0,4,0.6,10,250050,-4.132,0.717,1,audio_features,spotify:track:2OtGVOEt6BEVj21cT2oZhp
72,0.502,0.12,94.098,0.0654,0.736,0.0,4,0.681,6,258959,-8.812,0.619,0,audio_features,spotify:track:6XPCoGblXqyvcyp31vzRyL
