,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,track_id,Position,Track Name,Artist,Streams,date,track_id
23202,0.45,0.172,95.99799999999999,0.0872,0.0407,0.0,4,0.746,7,232853,-8.543,0.336,1,3GRSqlALWISqLeNncZMbpX,3,Mean It,Lauv,279030,2019-11-17,3GRSqlALWISqLeNncZMbpX
202,0.608,0.0853,110.001,0.0694,0.0767,2.92e-06,4,0.795,5,199849,-5.222,0.386,0,4mxWSdf71VFO52qFeY0fZt,3,What Lovers Do (feat. SZA),Maroon 5,44238,2017-09-03,4mxWSdf71VFO52qFeY0fZt
17002,0.858,0.0502,174.03900000000002,0.114,0.125,0.0,3,0.58,8,224225,-5.212000000000001,0.475,1,5hnbE5BF2e8BCk9OMR1UVC,3,Mikrokosmos,BTS,271308,2019-04-14,5hnbE5BF2e8BCk9OMR1UVC
8402,0.8809999999999999,0.27699999999999997,142.018,0.10400000000000001,0.0234,0.0,4,0.695,1,197789,-2.082,0.9470000000000001,1,2r5oD7twaQTsv5KoRS6v16,3,Really,BLACKPINK,128423,2018-06-17,2r5oD7twaQTsv5KoRS6v16
16802,0.787,0.0736,124.949,0.0445,0.0153,0.0,4,0.764,1,191226,-3.647,0.381,0,5R0cvR5BMFkLomChhmcCzr,3,Kick It,BLACKPINK,222950,2019-04-07,5R0cvR5BMFkLomChhmcCzr
15602,0.853,0.32899999999999996,124.99799999999999,0.0665,0.00116,4.23e-05,4,0.79,11,199874,-4.564,0.713,0,0GU5GuJQQEnnREO2FxnVPT,3,달라달라 (DALLA DALLA),ITZY,166867,2019-02-24,0GU5GuJQQEnnREO2FxnVPT
12602,0.642,0.0953,95.045,0.087,0.0861,0.0,4,0.7509999999999999,3,169567,-5.165,0.38799999999999996,0,2wVDWtLKXunswWecARNILj,3,SOLO,JENNIE,218296,2018-11-11,2wVDWtLKXunswWecARNILj
7602,0.42200000000000004,0.127,113.007,0.0422,0.37200000000000005,0.0,4,0.57,1,242293,-7.561,0.16899999999999998,0,48XfojJC87VKLlUotYV0Gm,3,The Truth Untold,BTS,84368,2018-05-20,48XfojJC87VKLlUotYV0Gm
2602,0.8420000000000001,0.23,169.917,0.21899999999999997,0.0157,0.0,4,0.613,10,238726,-4.332,0.645,0,7Ed6BkggCS2KaKY5YlINaF,3,MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,63950,2017-11-26,7Ed6BkggCS2KaKY5YlINaF
19402,0.653,0.111,150.231,0.0745,0.447,0.0,4,0.58,5,174960,-3.818,0.175,1,6vBdBCoOhKHiYDDOcorfNo,3,Goodbyes (Feat. Young Thug),Post Malone,241567,2019-07-07,6vBdBCoOhKHiYDDOcorfNo
